iter	Passed	Remaining
0	57	57216
1	57	28782
2	58	19303
3	58	14626
4	59	11764
5	59	9846
6	59	8482
7	60	7445
8	60	6640
9	60	5997
10	60	5472
11	61	5036
12	61	4662
13	61	4352
14	62	4075
15	62	3833
16	62	3618
17	62	3430
18	63	3259
19	63	3104
20	63	2965
21	63	2839
22	64	2724
23	64	2621
24	64	2527
25	65	2438
26	65	2355
27	65	2280
28	65	2208
29	66	2140
30	66	2077
31	66	2017
32	66	1962
33	67	1910
34	67	1860
35	67	1815
36	68	1771
37	68	1729
38	68	1690
39	68	1652
40	69	1618
41	69	1583
42	69	1551
43	70	1522
44	70	1493
45	70	1467
46	70	1439
47	71	1413
48	71	1389
49	72	1374
50	72	1354
51	73	1333
52	73	1317
53	74	1297
54	74	1276
55	74	1256
56	74	1237
57	75	1219
58	75	1201
59	75	1183
60	75	1166
61	76	1150
62	76	1134
63	76	1119
64	76	1103
65	76	1089
66	77	1074
67	77	1061
68	77	1047
69	77	1034
70	78	1022
71	78	1009
72	78	998
73	78	986
74	79	975
75	79	964
76	79	953
77	79	943
78	80	933
79	80	923
80	80	914
81	80	905
82	81	894
83	81	886
84	81	878
85	81	869
86	82	861
87	82	853
88	82	845
89	82	837
90	83	830
91	83	822
92	83	815
93	83	808
94	84	801
95	84	795
96	84	790
97	85	785
98	85	779
99	85	773
100	86	768
101	86	762
102	86	756
103	87	750
104	87	745
105	87	740
106	88	735
107	88	730
108	88	725
109	88	719
110	89	715
111	89	710
112	89	705
113	90	700
114	90	696
115	90	691
116	90	686
117	91	681
118	91	677
119	91	673
120	92	669
121	92	664
122	92	659
123	92	656
124	93	651
125	93	647
126	93	643
127	93	638
128	94	635
129	94	631
130	94	627
131	94	623
132	95	619
133	95	616
134	95	612
135	95	609
136	96	605
137	96	601
138	96	598
139	96	595
140	97	592
141	97	588
142	97	584
143	97	581
144	98	578
145	98	575
146	98	572
147	98	569
148	99	566
149	99	563
150	99	560
151	100	557
152	100	555
153	100	552
154	100	550
155	101	547
156	101	544
157	101	542
158	102	540
159	102	538
160	102	535
161	102	532
162	103	531
163	103	529
164	104	527
165	104	524
166	104	522
167	105	520
168	105	519
169	105	516
170	106	514
171	106	511
172	106	509
173	106	507
174	107	504
175	107	502
176	107	500
177	107	498
178	108	497
179	108	495
180	108	492
181	109	490
182	109	488
183	109	486
184	109	484
185	110	482
186	110	480
187	110	478
188	110	476
189	111	473
190	111	471
191	111	469
192	111	468
193	112	466
194	112	464
195	112	462
196	112	460
197	113	458
198	113	456
199	113	454
200	113	452
201	114	450
202	114	449
203	114	447
204	114	445
205	115	443
206	115	441
207	115	440
208	115	438
209	115	436
210	116	434
211	116	433
212	116	431
213	117	429
214	117	428
215	117	426
216	117	425
217	118	423
218	118	422
219	118	420
220	118	419
221	119	417
222	119	416
223	119	414
224	120	413
225	120	412
226	120	410
227	121	409
228	121	408
229	121	407
230	122	406
231	122	405
232	122	403
233	122	402
234	123	401
235	123	399
236	123	398
237	124	397
238	124	395
239	124	394
240	124	393
241	125	391
242	125	390
243	125	389
244	125	387
245	126	386
246	126	385
247	126	384
248	126	382
249	127	381
250	127	380
251	127	379
252	127	377
253	128	376
254	128	375
255	128	374
256	129	373
257	129	371
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	131	365
264	131	364
265	131	363
266	132	362
267	132	361
268	132	360
269	133	359
270	133	358
271	133	357
272	134	357
273	134	356
274	134	355
275	135	354
276	135	353
277	135	352
278	135	351
279	136	350
280	136	349
281	136	348
282	137	347
